sensor_name,timestamp,acceleration_x,acceleration_y,acceleration_z,acceleration_magnitude
MPU6050_A,1679,0.902614057,1.082179189,10.709263802,10.801581383
ADXL345,1679,-0.549172401,-5.491724014,12.552512169,13.712264061
MPU6050_A,1694,0.598550439,1.288080573,10.900800705,10.992946625
ADXL345,1694,-0.392266005,-5.570177078,11.140354156,12.461470604
MPU6050_A,1709,-0.351947635,1.321599364,10.852916718,10.938752174
ADXL345,1709,-0.392266005,1.647517204,7.296147823,7.490124226
MPU6050_A,1724,0.871489406,1.316810966,10.043676376,10.167050362
ADXL345,1724,-0.078453198,-2.981221676,10.591181755,11.003044128
MPU6050_A,1739,0.612915635,1.043871999,10.268731117,10.339834213
ADXL345,1739,-0.235359609,-4.785645485,10.120463371,11.19739151
MPU6050_A,1754,-0.337582439,1.323993564,11.051634789,11.135778427
ADXL345,1754,-0.549172401,0.784532011,7.923773289,7.981432438
MPU6050_A,1769,0.778115571,1.340752959,10.319009781,10.434800148
ADXL345,1769,-0.392266005,-2.196689606,10.120463371,10.363546371
MPU6050_A,1784,1.053448796,1.144428372,9.974244118,10.094800949
ADXL345,1784,-0.313812792,-4.314926147,10.591181755,11.440725327
MPU6050_A,1799,-0.016759412,1.18991828,10.694898605,10.760903358
ADXL345,1799,-0.392266005,0.156906396,8.551399231,8.561829567
MPU6050_A,1814,0.105344877,1.323993564,10.6254673,10.708156586
ADXL345,1814,-0.313812792,-2.588955641,9.96355629,10.299204826
MPU6050_A,1829,0.984016895,1.271321058,10.098742485,10.225905418
ADXL345,1829,-0.235359609,-2.981221676,9.885103226,10.327552795
MPU6050_A,1844,0.069431849,1.199495077,10.745177269,10.812143326
ADXL345,1844,-0.156906396,-0.470719218,8.316039085,8.330828667
MPU6050_A,1859,0.158017308,1.216254473,10.565611839,10.636559486
ADXL345,1859,-0.549172401,-2.82431531,10.512728691,10.899349213
MPU6050_A,1874,0.998382092,1.312022567,10.172963142,10.305695534
ADXL345,1874,-0.313812792,-2.902768373,9.335930824,9.781827927
MPU6050_A,1889,0.10295067,1.216254473,10.687716484,10.757190704
ADXL345,1889,0.0,-0.862985194,8.629852295,8.672894478
MPU6050_A,1904,0.134075299,1.247379065,10.690110207,10.763474464
ADXL345,1904,-0.313812792,-2.902768373,10.042009354,10.457843781
MPU6050_A,1919,0.825999558,1.323993564,10.036493301,10.15708828
ADXL345,1919,-0.392266005,-2.745862007,9.728197098,10.115900993
MPU6050_A,1934,0.081402861,1.22583127,10.658986092,10.729551315
ADXL345,1934,-0.235359609,-1.176797986,9.25747776,9.334941864
MPU6050_A,1949,0.337582439,1.223437071,10.613495827,10.689108849
ADXL345,1949,-0.392266005,-2.432049274,9.96355629,10.263585091
MPU6050_A,1964,0.775721371,1.213860273,10.125079155,10.227044106
ADXL345,1964,-0.392266005,-2.353595972,9.728197098,10.016541481
MPU6050_A,1979,0.02873042,1.247379065,10.577583313,10.650918007
ADXL345,1979,-0.392266005,-1.333704472,9.57129097,9.671724319
MPU6050_A,1994,0.270544797,1.22583127,10.539276123,10.6137743
ADXL345,1994,-0.549172401,-2.432049274,10.355822563,10.651738167
MPU6050_A,2009,0.718260527,1.213860273,10.225635529,10.322450638
ADXL345,2009,0.392266005,-2.510502338,9.022118568,9.373106003
MPU6050_A,2024,0.138863698,1.290474772,10.611102104,10.690187454
ADXL345,2024,0.078453198,-1.725970387,9.179024696,9.340215683
MPU6050_A,2039,0.33518824,1.252167463,10.539276123,10.618691444
ADXL345,2039,-0.156906396,-2.667408943,9.728197098,10.08848381
MPU6050_A,2054,0.713472128,1.175553083,10.27112484,10.362768173
ADXL345,2054,-0.313812792,-2.196689606,9.335930824,9.59601593
MPU6050_A,2069,0.136469498,1.316810966,10.66377449,10.74563694
ADXL345,2069,-0.313812792,-1.569064021,9.335930824,9.472066879
MPU6050_A,2084,0.366312861,1.233013868,10.469843864,10.548561096
ADXL345,2084,-0.313812792,-2.353595972,9.728197098,10.013775826
MPU6050_A,2099,0.675164878,1.233013868,10.347740173,10.442791939
ADXL345,2099,-0.313812792,-2.353595972,9.806650162,10.090008736
MPU6050_A,2114,0.081402861,1.240196466,10.572794914,10.645595551
ADXL345,2114,-0.156906396,-1.725970387,9.96355629,10.113162041
MPU6050_A,2129,0.423773706,1.285686255,10.455478668,10.542751312
ADXL345,2129,-0.549172401,-2.118236542,10.669635773,10.891723633
MPU6050_A,2144,0.55784899,1.283292055,10.263942719,10.358887672
ADXL345,2144,-0.235359609,-2.275142908,9.335930824,9.612037659
MPU6050_A,2159,0.18674773,1.223437071,10.658986092,10.730594635
ADXL345,2159,-0.470719218,-2.196689606,9.885103226,10.137173653
MPU6050_A,2174,0.435744703,1.237802267,10.369287491,10.451992989
ADXL345,2174,-0.313812792,-2.039783239,10.042009354,10.25188446
MPU6050_A,2189,0.569819987,1.278503656,10.354922295,10.449099541
ADXL345,2189,-0.627625585,-1.961330056,9.57129097,9.790318489
MPU6050_A,2204,0.177170932,1.292868972,10.515334129,10.595996857
ADXL345,2204,-0.784532011,-1.804423571,9.414383888,9.617798805
MPU6050_A,2219,0.37349546,1.233013868,10.541669846,10.62010479
ADXL345,2219,-0.627625585,-2.510502338,9.96355629,10.29412365
MPU6050_A,2234,0.478840351,1.307234168,10.347740173,10.440971375
ADXL345,2234,0.0,-2.039783239,9.179024696,9.402935982
MPU6050_A,2249,0.18674773,1.259350061,10.536881447,10.6135149
ADXL345,2249,-0.470719218,-1.961330056,9.492836952,9.704758644
MPU6050_A,2264,0.514753342,1.259350061,10.431536674,10.519881248
ADXL345,2264,-0.235359609,-2.275142908,9.335930824,9.612037659
MPU6050_A,2279,0.48123455,1.261744261,10.467450142,10.554198265
ADXL345,2279,-0.549172401,-1.647517204,9.885103226,10.036492348
MPU6050_A,2294,0.258573771,1.273715258,10.579977036,10.659508705
ADXL345,2294,-0.235359609,-2.353595972,9.492836952,9.783085823
MPU6050_A,2309,0.392649084,1.206677675,10.405200958,10.482292175
ADXL345,2309,-0.706078827,-2.196689606,10.120463371,10.380162239
MPU6050_A,2324,0.426167905,1.213860273,10.491392136,10.569975853
ADXL345,2324,-0.549172401,-1.647517204,9.57129097,9.727564812
MPU6050_A,2339,0.253785372,1.221042871,10.536881447,10.610429764
ADXL345,2339,-0.784532011,-1.804423571,9.728197098,9.925183296
MPU6050_A,2354,0.414196908,1.221042871,10.419566154,10.499041557
ADXL345,2354,-1.176797986,-2.196689606,9.414383888,9.738630295
MPU6050_A,2369,0.447715729,1.233013868,10.436325073,10.518444061
ADXL345,2369,-0.470719218,-2.196689606,9.25747776,9.526169777
MPU6050_A,2384,0.268150598,1.194706678,10.500968933,10.572113037
ADXL345,2384,-0.313812792,-2.118236542,9.335930824,9.578361511
MPU6050_A,2399,0.440533102,1.30005157,10.41238308,10.502471924
ADXL345,2399,-0.313812792,-2.196689606,9.022118568,9.290992737
MPU6050_A,2414,0.402225882,1.247379065,10.395624161,10.477916718
ADXL345,2414,-0.235359609,-2.118236542,9.96355629,10.1889534
