sensor_name,timestamp,acceleration_x,acceleration_y,acceleration_z,acceleration_magnitude
MPU6050_A,1680,1.544260144,0.620098233,10.40041256,10.5327034
ADXL345,1680,0.156906396,-6.19780302,10.042009354,11.80166626
MPU6050_A,1695,1.036689281,-0.241814375,9.275136948,9.336025238
ADXL345,1695,0.0,-2.432049274,6.825428486,7.245780945
MPU6050_A,1710,-0.064643443,-0.380678058,10.541669846,10.548739433
ADXL345,1710,0.078453198,-2.588955641,10.120463371,10.446656227
MPU6050_A,1725,1.577778935,-0.031124622,9.957485199,10.081759453
ADXL345,1725,0.313812792,-5.727083683,10.512728691,11.975618362
MPU6050_A,1740,1.07739079,-0.050278235,10.005369186,10.063335419
ADXL345,1740,0.313812792,-1.725970387,8.629852295,8.806349754
MPU6050_A,1755,-0.213083953,0.002394202,10.690110207,10.692234039
ADXL345,1755,0.392266005,-3.216581345,9.25747776,9.808218956
MPU6050_A,1770,1.37666595,-0.201112941,9.691728592,9.791080475
ADXL345,1770,0.470719218,-5.334817886,10.277369499,11.589054108
MPU6050_A,1785,1.881842494,-0.220266551,9.591172218,9.776524544
ADXL345,1785,0.156906396,-2.510502338,8.708305359,9.064315796
MPU6050_A,1800,0.287304193,0.026336219,10.419566154,10.423560143
ADXL345,1800,0.078453198,-2.82431531,9.96355629,10.356416702
MPU6050_A,1815,1.15161097,-0.08379706,9.737217903,9.805439949
ADXL345,1815,0.235359609,-4.864098549,9.885103226,11.019533157
MPU6050_A,1830,1.616086125,-0.124498487,9.612719536,9.748415947
ADXL345,1830,0.313812792,-2.196689606,8.472946167,8.758694649
MPU6050_A,1845,0.509964943,-0.112527482,10.431536674,10.444601059
ADXL345,1845,0.0,-3.608847141,9.649744034,10.302492142
MPU6050_A,1860,0.577002585,-0.04070143,10.266336441,10.282619476
ADXL345,1860,0.0,-3.765753746,9.492836952,10.212485313
MPU6050_A,1875,1.436521053,-0.129286885,9.691728592,9.798464775
ADXL345,1875,0.0,-2.667408943,8.394492149,8.808096886
MPU6050_A,1890,0.574608386,-0.179565132,10.414777756,10.432162285
ADXL345,1890,0.0,-4.079566479,9.492836952,10.33231926
MPU6050_A,1905,0.612915635,-0.165199921,10.228029251,10.247709274
ADXL345,1905,0.470719218,-4.393379211,8.943664551,9.975594521
MPU6050_A,1920,1.223437071,-0.045489833,9.713275909,9.790127754
ADXL345,1920,0.078453198,-2.745862007,7.766867161,8.238333702
MPU6050_A,1935,0.524330199,-0.019153614,10.330980301,10.344295502
ADXL345,1935,0.078453198,-3.84420681,10.198916435,10.899632454
MPU6050_A,1950,0.768538773,-0.14844051,10.314221382,10.3438797
ADXL345,1950,0.313812792,-3.84420681,8.865211487,9.667904854
MPU6050_A,1965,1.247379065,-0.079008654,9.873687744,9.952482224
ADXL345,1965,0.156906396,-2.510502338,9.100571632,9.441802979
MPU6050_A,1980,0.653617084,-0.04309563,10.240000725,10.260930061
ADXL345,1980,0.0,-3.608847141,9.728197098,10.376010895
MPU6050_A,1995,0.718260527,-0.107739076,10.247182846,10.272890091
ADXL345,1995,0.235359609,-3.530394077,9.335930824,9.983921051
MPU6050_A,2010,1.130063176,-0.129286885,9.967061996,10.03175354
ADXL345,2010,0.470719218,-2.902768373,8.786758423,9.265784264
MPU6050_A,2025,0.679953277,-0.069431849,10.096348763,10.119457245
ADXL345,2025,0.078453198,-3.84420681,9.414383888,10.169301987
MPU6050_A,2040,0.756567717,-0.062249243,10.151414871,10.179759026
ADXL345,2040,-0.313812792,-3.530394077,9.25747776,9.912772179
MPU6050_A,2055,1.063025594,-0.1316811,10.086771965,10.143486977
ADXL345,2055,0.235359609,-3.05967474,8.551399231,9.085341454
MPU6050_A,2070,0.78050977,-0.1316811,10.196905136,10.227581024
ADXL345,2070,0.313812792,-3.608847141,9.57129097,10.233859062
MPU6050_A,2085,0.699106872,-0.088585466,10.074800491,10.099415779
ADXL345,2085,0.156906396,-3.530394077,8.786758423,9.470767021
MPU6050_A,2100,0.924161851,-0.105344877,9.931148529,9.974612236
ADXL345,2100,0.0,-2.902768373,9.57129097,10.001783371
MPU6050_A,2115,0.830788016,-0.143652096,10.101137161,10.136262894
ADXL345,2115,0.392266005,-4.079566479,9.179024696,10.052424431
MPU6050_A,2130,0.770932972,-0.086191259,10.278307915,10.30753994
ADXL345,2130,0.078453198,-2.745862007,9.25747776,9.656438828
MPU6050_A,2145,0.912190855,-0.143652096,9.983820915,10.026435852
ADXL345,2145,0.0,-3.138128042,9.100571632,9.62643528
MPU6050_A,2160,0.823605359,-0.105344877,10.134655952,10.16861248
ADXL345,2160,0.078453198,-4.079566479,9.179024696,10.045073509
MPU6050_A,2175,0.809240162,-0.117315881,10.139444351,10.172363281
ADXL345,2175,-0.313812792,-3.216581345,8.865211487,9.435934067
MPU6050_A,2190,0.895431459,-0.074220255,10.046070099,10.086170197
ADXL345,2190,0.313812792,-3.295034409,8.865211487,9.462965012
MPU6050_A,2205,0.785298169,-0.129286885,10.062829971,10.09425354
ADXL345,2205,0.156906396,-3.922660112,9.179024696,9.983304977
MPU6050_A,2220,0.775721371,-0.055066638,9.995792389,10.025998116
ADXL345,2220,0.313812792,-3.138128042,9.96355629,10.450778961
