sensor_name,timestamp,acceleration_x,acceleration_y,acceleration_z,acceleration_magnitude
MPU6050_A,1680,1.273715258,-0.294486821,9.284713745,9.376298904
ADXL345,1680,-0.549172401,-4.707191944,9.57129097,10.68030262
MPU6050_A,1695,-0.031124622,-0.055066638,10.290278435,10.290472984
ADXL345,1695,-0.313812792,-2.588955641,8.316039085,8.715370178
MPU6050_A,1710,-0.454898328,-0.179565132,10.723628998,10.734775543
ADXL345,1710,-0.235359609,-3.216581345,9.728197098,10.248883247
MPU6050_A,1725,1.18991828,-0.280121595,9.327810287,9.407572746
ADXL345,1725,0.078453198,-5.021004677,9.728197098,10.947806358
MPU6050_A,1740,0.055066638,-0.126892686,10.026916504,10.027870178
ADXL345,1740,0.0,-2.510502338,8.472946167,8.837049484
MPU6050_A,1755,-0.490811348,-0.105344877,10.623072624,10.634926796
ADXL345,1755,-0.392266005,-3.451940775,9.022118568,9.667904854
MPU6050_A,1770,1.051054597,-0.265756398,9.595960617,9.657008171
ADXL345,1770,0.0,-4.707191944,10.434275627,11.446910858
MPU6050_A,1785,0.802057564,-0.248996973,9.63666153,9.673186302
ADXL345,1785,-0.392266005,-2.82431531,9.100571632,9.53682518
MPU6050_A,1800,-0.423773706,-0.105344877,10.465055466,10.474162102
ADXL345,1800,-0.392266005,-3.451940775,8.708305359,9.375732422
MPU6050_A,1815,0.301669419,-0.172382519,10.132261276,10.138216972
ADXL345,1815,-0.313812792,-4.393379211,9.022118568,10.03986454
MPU6050_A,1830,0.866701007,-0.258573771,9.758766174,9.800589561
ADXL345,1830,-0.706078827,-2.902768373,8.708305359,9.206475258
MPU6050_A,1845,-0.33518824,-0.239420176,10.436325073,10.444451332
ADXL345,1845,-0.627625585,-3.216581345,10.042009354,10.563250542
MPU6050_A,1860,0.117315881,-0.155623108,10.19451046,10.196372986
ADXL345,1860,-0.156906396,-4.62873888,9.100571632,10.211280823
MPU6050_A,1875,0.849941611,-0.18674773,9.809044838,9.847570419
ADXL345,1875,-0.627625585,-3.05967474,8.472946167,9.030301094
MPU6050_A,1890,-0.16759412,-0.222660765,10.29746151,10.301232338
ADXL345,1890,-0.549172401,-3.922660112,9.414383888,10.213690758
MPU6050_A,1905,0.124498487,-0.16759412,10.160991669,10.163136482
ADXL345,1905,0.0,-3.84420681,7.845320225,8.736531258
MPU6050_A,1920,0.730231524,-0.217872351,9.770736694,9.800408363
ADXL345,1920,-0.549172401,-3.295034409,8.629852295,9.253820419
MPU6050_A,1935,-0.031124622,-0.208295554,10.283096313,10.285252571
ADXL345,1935,-0.470719218,-3.84420681,9.806650162,10.54371357
MPU6050_A,1950,0.138863698,-0.208295554,10.096348763,10.099452019
ADXL345,1950,-0.313812792,-3.765753746,10.120463371,10.802923203
MPU6050_A,1965,0.581790984,-0.169988319,9.897629738,9.916171074
ADXL345,1965,0.0,-2.667408943,9.100571632,9.483431816
MPU6050_A,1980,-0.04070143,-0.210689753,10.192116737,10.194375992
ADXL345,1980,0.078453198,-4.001113415,9.100571632,9.941602707
MPU6050_A,1995,0.174776718,-0.215478152,10.180145264,10.183925629
ADXL345,1995,-0.392266005,-3.608847141,8.708305359,9.43462944
MPU6050_A,2010,0.541089594,-0.179565132,9.885659218,9.902084351
ADXL345,2010,-0.627625585,-3.687300444,9.022118568,9.76671505
MPU6050_A,2025,-0.023942016,-0.124498487,10.134655952,10.135449409
ADXL345,2025,-0.470719218,-3.765753746,9.335930824,10.077801704
MPU6050_A,2040,0.177170932,-0.191536129,10.19451046,10.19784832
ADXL345,2040,-0.627625585,-3.295034409,8.472946167,9.112737656
MPU6050_A,2055,0.526724398,-0.229843363,9.87608242,9.892788887
ADXL345,2055,-0.470719218,-3.138128042,8.786758423,9.342191696
MPU6050_A,2070,0.095768064,-0.18435353,10.093954086,10.09609127
ADXL345,2070,-0.392266005,-3.765753746,9.25747776,10.001783371
MPU6050_A,2085,0.134075299,-0.246602774,10.208875656,10.212734222
ADXL345,2085,-0.078453198,-3.530394077,8.629852295,9.324386597
MPU6050_A,2100,0.416591108,-0.227449164,10.010157585,10.021404266
ADXL345,2100,-0.313812792,-3.530394077,9.022118568,9.69333744
MPU6050_A,2115,0.150834709,-0.181959331,10.211270332,10.21400547
ADXL345,2115,0.0,-3.84420681,8.865211487,9.662810326
MPU6050_A,2130,0.172382519,-0.189141929,10.201693535,10.204902649
ADXL345,2130,-0.156906396,-3.451940775,9.100571632,9.734521866
MPU6050_A,2145,0.404620081,-0.208295554,9.892841339,9.903303146
ADXL345,2145,0.0,-3.451940775,9.492836952,10.100982666
MPU6050_A,2160,0.174776718,-0.215478152,10.177751541,10.18153286
ADXL345,2160,-0.313812792,-3.84420681,9.100571632,9.884169579
MPU6050_A,2175,0.105344877,-0.18435353,10.084377289,10.086611748
ADXL345,2175,-0.235359609,-3.373487711,8.629852295,9.268774033
MPU6050_A,2190,0.407014281,-0.239420176,9.974244118,9.985415459
ADXL345,2190,-0.392266005,-3.608847141,8.394492149,9.14577198
MPU6050_A,2205,0.217872351,-0.193930343,10.034099579,10.038338661
ADXL345,2205,-0.156906396,-3.608847141,9.414383888,10.083601952
MPU6050_A,2220,0.126892686,-0.174776718,10.244789124,10.247065544
ADXL345,2220,-0.392266005,-3.451940775,9.179024696,9.814492226
MPU6050_A,2235,0.328005642,-0.20590134,9.974244118,9.981760025
ADXL345,2235,-0.313812792,-3.216581345,9.25747776,9.805395126
MPU6050_A,2250,0.225054964,-0.20590134,10.072406769,10.07702446
ADXL345,2250,0.0,-3.922660112,9.022118568,9.837982178
MPU6050_A,2265,0.143652096,-0.158017308,10.225635529,10.227865219
