sensor_name,timestamp,acceleration_x,acceleration_y,acceleration_z,acceleration_magnitude
MPU6050_A,1681,0.059855044,0.452504128,10.445901871,10.455869675
ADXL345,1681,-0.392266005,-2.981221676,9.335930824,9.808218956
MPU6050_A,1696,0.244208574,0.495599747,10.275913239,10.290755272
ADXL345,1696,-1.01989162,-2.981221676,9.96355629,10.449895859
MPU6050_A,1711,0.265756398,0.610521436,10.108319283,10.130226135
ADXL345,1711,-0.392266005,-2.510502338,9.335930824,9.675540924
MPU6050_A,1726,0.045489833,0.531512797,10.393229485,10.406910896
ADXL345,1726,-1.176797986,-2.275142908,9.335930824,9.680947304
MPU6050_A,1741,0.105344877,0.495599747,10.402806282,10.415138245
ADXL345,1741,-0.156906396,-3.138128042,9.57129097,10.073831558
MPU6050_A,1756,0.375889659,0.495599747,10.247182846,10.266044617
ADXL345,1756,-0.549172401,-2.667408943,9.179024696,9.574505806
MPU6050_A,1771,0.18674773,0.533906996,10.371682167,10.387094498
ADXL345,1771,-0.627625585,-2.588955641,8.865211487,9.256812096
MPU6050_A,1786,0.098162271,0.538695395,10.465055466,10.479371071
ADXL345,1786,-0.706078827,-2.981221676,8.943664551,9.453854561
MPU6050_A,1801,0.141257897,0.514753342,10.321403503,10.335196495
ADXL345,1801,-0.392266005,-2.82431531,9.728197098,10.137476921
MPU6050_A,1816,0.256179571,0.495599747,10.189722061,10.204983711
ADXL345,1816,-0.078453198,-2.745862007,8.708305359,9.131292343
MPU6050_A,1831,0.18674773,0.572214186,10.256759644,10.274406433
ADXL345,1831,-0.627625585,-2.588955641,9.885103226,10.23776722
MPU6050_A,1846,0.031124622,0.565031588,10.307038307,10.322561264
ADXL345,1846,-0.313812792,-3.295034409,9.335930824,9.90531826
MPU6050_A,1861,0.284909993,0.531512797,10.314221382,10.3318367
ADXL345,1861,-1.255251169,-2.902768373,9.25747776,9.782771111
MPU6050_A,1876,0.301669419,0.538695395,10.180145264,10.198850632
ADXL345,1876,-0.862985194,-2.353595972,9.414383888,9.742422104
MPU6050_A,1891,0.08379706,0.502782345,10.340557098,10.353112221
ADXL345,1891,-0.313812792,-2.981221676,9.25747776,9.730727196
MPU6050_A,1906,0.220266551,0.438138902,10.175356865,10.187167168
ADXL345,1906,-0.470719218,-3.373487711,9.25747776,9.864222527
MPU6050_A,1921,0.644040287,0.469263524,10.158597946,10.189804077
ADXL345,1921,-0.941438437,-2.510502338,9.25747776,9.637936592
